team_comp,unlock_synergies,score,ratio
Aphelios/Diana/Ezreal/Qiyana/Rell/Sejuani,5,5,0.62
Aphelios/Diana/Jax/Lillia/Rengar/Sejuani,5,5,0.5
Aphelios/Diana/Jax/Olaf/Rell/Sejuani,5,5,0.5
Aphelios/Diana/Jax/Olaf/Rengar/Sejuani,5,5,0.5
Aphelios/Diana/Lee Sin/Qiyana/Rell/Sejuani,5,5,0.62
Aphelios/Diana/Leona/Lillia/Nunu/Rengar,5,5,0.62
Aphelios/Diana/Leona/Lillia/Rengar/Sejuani,5,5,0.56
Aphelios/Diana/Leona/Nunu/Rengar/Sejuani,5,5,0.62
Aphelios/Diana/Leona/Rakan/Rengar/Senna,5,5,0.62
Aphelios/Diana/Lillia/Malphite/Rengar/Sejuani,5,5,0.56
Aphelios/Diana/Lillia/Nasus/Rengar/Sejuani,5,5,0.56
Aphelios/Diana/Lillia/Nunu/Rengar/Sejuani,5,6,0.62
Aphelios/Diana/Lillia/Qiyana/Rell/Sejuani,5,6,0.62
Aphelios/Diana/Lillia/Rakan/Rell/Senna,5,5,0.56
Aphelios/Diana/Lillia/Rakan/Rengar/Sejuani,5,5,0.5
Aphelios/Diana/Lillia/Rakan/Sejuani/Senna,5,5,0.5
Aphelios/Diana/Lillia/Rell/Rengar/Sejuani,5,6,0.71
Aphelios/Diana/Lillia/Rell/Sejuani/Senna,5,6,0.62
Aphelios/Diana/Lillia/Rell/Sejuani/Zeri,5,6,0.62
Aphelios/Diana/Lillia/Rengar/Sejuani/Skarner,5,5,0.56
Aphelios/Diana/Lillia/Rengar/Sejuani/Vladimir,5,5,0.62
Aphelios/Diana/Lillia/Rengar/Sejuani/Zac,5,5,0.56
Aphelios/Diana/Malphite/Olaf/Rell/Sejuani,5,5,0.56
Aphelios/Diana/Malphite/Olaf/Rengar/Sejuani,5,5,0.56
Aphelios/Diana/Nasus/Rakan/Rengar/Senna,5,5,0.62
Aphelios/Diana/Nunu/Olaf/Rell/Yone,5,5,0.62
Aphelios/Diana/Nunu/Olaf/Rengar/Sejuani,5,5,0.56
Aphelios/Diana/Nunu/Olaf/Sejuani/Yone,5,5,0.56
Aphelios/Diana/Nunu/Rengar/Sejuani/Senna,5,5,0.62
Aphelios/Diana/Nunu/Rengar/Sejuani/Yone,5,5,0.62
Aphelios/Diana/Nunu/Rengar/Sejuani/Zeri,5,5,0.62
Aphelios/Diana/Olaf/Qiyana/Rell/Sejuani,5,5,0.56
Aphelios/Diana/Olaf/Rell/Rengar/Sejuani,5,5,0.62
Aphelios/Diana/Olaf/Rell/Sejuani/Senna,5,5,0.56
Aphelios/Diana/Olaf/Rell/Sejuani/Skarner,5,5,0.56
Aphelios/Diana/Olaf/Rell/Sejuani/Sylas,5,5,0.5
Aphelios/Diana/Olaf/Rell/Sejuani/Wukong,5,5,0.56
Aphelios/Diana/Olaf/Rell/Sejuani/Yone,5,5,0.56
Aphelios/Diana/Olaf/Rell/Sejuani/Zeri,5,5,0.56
Aphelios/Diana/Olaf/Rengar/Sejuani/Skarner,5,5,0.56
Aphelios/Diana/Qiyana/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Diana/Qiyana/Rell/Sejuani/Zeri,5,5,0.62
Aphelios/Diana/Rakan/Rell/Sejuani/Senna,5,5,0.56
Aphelios/Diana/Rakan/Rengar/Sejuani/Senna,5,5,0.56
Aphelios/Diana/Rakan/Rengar/Senna/Zac,5,5,0.62
Aphelios/Diana/Rell/Rengar/Sejuani/Senna,5,5,0.71
Aphelios/Diana/Rell/Rengar/Sejuani/Zeri,5,5,0.71
Aphelios/Diana/Rell/Sejuani/Senna/Sett,5,5,0.62
Aphelios/Ezreal/Kai'sa/Lee Sin/Rell/Sejuani,5,5,0.62
Aphelios/Ezreal/Karma/Lee Sin/Rell/Sejuani,5,5,0.62
Aphelios/Ezreal/Lee Sin/Nunu/Rell/Twitch,5,5,0.62
Aphelios/Ezreal/Lee Sin/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Ezreal/Lee Sin/Rell/Sejuani/Sett,5,5,0.62
Aphelios/Ezreal/Lee Sin/Rell/Sejuani/Twitch,5,6,0.71
Aphelios/Ezreal/Lee Sin/Rell/Sejuani/Varus,5,5,0.62
Aphelios/Ezreal/Lee Sin/Rell/Sejuani/Volibear,5,5,0.62
Aphelios/Ezreal/Lee Sin/Rell/Sejuani/Zeri,5,5,0.62
Aphelios/Ezreal/Leona/Nunu/Rell/Twitch,5,5,0.62
Aphelios/Ezreal/Leona/Rakan/Senna/Twitch,5,5,0.56
Aphelios/Ezreal/Nasus/Rakan/Senna/Twitch,5,5,0.56
Aphelios/Ezreal/Nunu/Qiyana/Rell/Twitch,5,5,0.62
Aphelios/Ezreal/Nunu/Qiyana/Rengar/Sejuani,5,5,0.62
Aphelios/Ezreal/Nunu/Rell/Senna/Twitch,5,5,0.62
Aphelios/Ezreal/Nunu/Rell/Twitch/Yone,5,5,0.62
Aphelios/Ezreal/Nunu/Rell/Twitch/Zeri,5,5,0.62
Aphelios/Ezreal/Qiyana/Rell/Rengar/Sejuani,5,5,0.71
Aphelios/Ezreal/Qiyana/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Ezreal/Qiyana/Rell/Sejuani/Twitch,5,6,0.71
Aphelios/Ezreal/Qiyana/Rell/Sejuani/Varus,5,5,0.62
Aphelios/Ezreal/Qiyana/Rell/Sejuani/Zeri,5,5,0.62
Aphelios/Ezreal/Rakan/Rell/Sejuani/Senna,5,5,0.56
Aphelios/Ezreal/Rakan/Rell/Senna/Twitch,5,5,0.56
Aphelios/Ezreal/Rakan/Senna/Twitch/Zac,5,5,0.56
Aphelios/Ezreal/Rell/Sejuani/Senna/Sett,5,5,0.62
Aphelios/Ezreal/Rell/Sejuani/Senna/Twitch,5,6,0.71
Aphelios/Ezreal/Rell/Sejuani/Senna/Varus,5,5,0.62
Aphelios/Ezreal/Rell/Sejuani/Twitch/Zeri,5,6,0.71
Aphelios/Ezreal/Rell/Sejuani/Varus/Zeri,5,5,0.62
Aphelios/Gnar/Nidalee/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Gnar/Nidalee/Rell/Sejuani/Zeri,5,5,0.62
Aphelios/Gnar/Rakan/Rell/Sejuani/Senna,5,5,0.56
Aphelios/Gnar/Rell/Sejuani/Senna/Sett,5,5,0.62
Aphelios/Jax/Lillia/Nunu/Olaf/Yone,5,5,0.5
Aphelios/Jax/Lillia/Olaf/Rell/Sejuani,5,6,0.5
Aphelios/Jax/Lillia/Olaf/Rell/Senna,5,5,0.5
Aphelios/Jax/Lillia/Olaf/Rell/Twitch,5,5,0.45
Aphelios/Jax/Lillia/Olaf/Rell/Wukong,5,5,0.56
Aphelios/Jax/Lillia/Olaf/Rell/Yone,5,5,0.5
Aphelios/Jax/Lillia/Olaf/Rell/Zeri,5,5,0.5
Aphelios/Jax/Lillia/Olaf/Rengar/Sejuani,5,5,0.45
Aphelios/Jax/Lillia/Olaf/Sejuani/Senna,5,5,0.45
Aphelios/Jax/Lillia/Olaf/Sejuani/Wukong,5,5,0.5
Aphelios/Jax/Lillia/Olaf/Sejuani/Yone,5,5,0.45
Aphelios/Jax/Lillia/Olaf/Sejuani/Zeri,5,5,0.45
Aphelios/Jax/Malphite/Rell/Sejuani/Senna,5,5,0.56
Aphelios/Jax/Malphite/Rell/Sejuani/Zeri,5,5,0.62
Aphelios/Jax/Nunu/Olaf/Rell/Yone,5,5,0.56
Aphelios/Jax/Nunu/Olaf/Sejuani/Yone,5,5,0.5
Aphelios/Jax/Olaf/Rell/Sejuani/Senna,5,5,0.5
Aphelios/Jax/Olaf/Rell/Sejuani/Wukong,5,5,0.56
Aphelios/Jax/Olaf/Rell/Sejuani/Yone,5,5,0.5
Aphelios/Jax/Olaf/Rell/Sejuani/Zeri,5,5,0.5
Aphelios/Jax/Rakan/Rell/Sejuani/Senna,5,5,0.5
Aphelios/Jax/Rell/Sejuani/Senna/Sett,5,5,0.56
Aphelios/Jax/Rell/Sejuani/Senna/Skarner,5,5,0.56
Aphelios/Jax/Rell/Sejuani/Senna/Sylas,5,5,0.5
Aphelios/Jax/Rell/Sejuani/Skarner/Zeri,5,5,0.56
Aphelios/Jax/Rell/Sejuani/Sylas/Zeri,5,5,0.5
Aphelios/Kai'sa/Karma/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Kai'sa/Karma/Rell/Sejuani/Zeri,5,5,0.71
Aphelios/Kai'sa/Lee Sin/Qiyana/Rell/Sejuani,5,5,0.62
Aphelios/Kai'sa/Lee Sin/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Kai'sa/Lee Sin/Rell/Sejuani/Zeri,5,5,0.71
Aphelios/Kai'sa/Malphite/Rell/Sejuani/Zeri,5,5,0.71
Aphelios/Kai'sa/Nunu/Rell/Senna/Sett,5,5,0.71
Aphelios/Kai'sa/Nunu/Sejuani/Senna/Sett,5,5,0.62
Aphelios/Kai'sa/Rakan/Rell/Sejuani/Senna,5,5,0.56
Aphelios/Kai'sa/Rakan/Rell/Sejuani/Sett,5,5,0.56
Aphelios/Kai'sa/Rakan/Senna/Seraphine/Zac,5,5,0.62
Aphelios/Kai'sa/Rakan/Seraphine/Sett/Zac,5,5,0.62
Aphelios/Kai'sa/Rakan/Sett/Zac/Zeri,5,5,0.71
Aphelios/Kai'sa/Rell/Sejuani/Senna/Sett,6,6,0.86
Aphelios/Kai'sa/Rell/Sejuani/Senna/Volibear,5,5,0.62
Aphelios/Kai'sa/Rell/Sejuani/Seraphine/Zeri,5,5,0.62
Aphelios/Kai'sa/Rell/Sejuani/Sett/Zeri,5,5,0.71
Aphelios/Kai'sa/Rell/Sejuani/Taliyah/Zeri,5,5,0.71
Aphelios/Kai'sa/Rell/Sejuani/Volibear/Zeri,5,5,0.71
Aphelios/Kai'sa/Rell/Sejuani/Zac/Zeri,5,5,0.71
Aphelios/Karma/Lee Sin/Qiyana/Rell/Sejuani,5,5,0.62
Aphelios/Karma/Lee Sin/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Karma/Lee Sin/Rell/Sejuani/Zeri,5,5,0.62
Aphelios/Karma/Nunu/Rell/Senna/Sett,5,5,0.71
Aphelios/Karma/Nunu/Sejuani/Senna/Sett,5,5,0.62
Aphelios/Karma/Rakan/Rell/Sejuani/Senna,5,5,0.56
Aphelios/Karma/Rakan/Rell/Sejuani/Sett,5,5,0.56
Aphelios/Karma/Rell/Sejuani/Senna/Sett,6,6,0.86
Aphelios/Karma/Rell/Sejuani/Senna/Volibear,5,5,0.62
Aphelios/Karma/Rell/Sejuani/Sett/Zeri,5,5,0.62
Aphelios/Karma/Rell/Sejuani/Volibear/Zeri,5,5,0.62
Aphelios/Lee Sin/Nunu/Qiyana/Rengar/Sejuani,5,5,0.62
Aphelios/Lee Sin/Nunu/Rell/Senna/Sett,5,5,0.71
Aphelios/Lee Sin/Nunu/Sejuani/Senna/Sett,5,5,0.62
Aphelios/Lee Sin/Qiyana/Rell/Rengar/Sejuani,5,5,0.71
Aphelios/Lee Sin/Qiyana/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Lee Sin/Qiyana/Rell/Sejuani/Sett,5,5,0.62
Aphelios/Lee Sin/Qiyana/Rell/Sejuani/Volibear,5,5,0.62
Aphelios/Lee Sin/Qiyana/Rell/Sejuani/Zeri,5,5,0.62
Aphelios/Lee Sin/Rakan/Rell/Sejuani/Senna,5,5,0.56
Aphelios/Lee Sin/Rakan/Rell/Sejuani/Sett,5,5,0.56
Aphelios/Lee Sin/Rell/Sejuani/Senna/Sett,6,6,0.86
Aphelios/Lee Sin/Rell/Sejuani/Senna/Volibear,5,5,0.62
Aphelios/Lee Sin/Rell/Sejuani/Sett/Zeri,5,5,0.62
Aphelios/Lee Sin/Rell/Sejuani/Volibear/Zeri,5,5,0.62
Aphelios/Leona/Lillia/Nunu/Rakan/Senna,5,5,0.56
Aphelios/Leona/Lillia/Olaf/Rell/Yone,5,5,0.56
Aphelios/Leona/Lillia/Olaf/Sejuani/Yone,5,5,0.5
Aphelios/Leona/Lillia/Rakan/Rell/Senna,5,5,0.56
Aphelios/Leona/Lillia/Rakan/Sejuani/Senna,5,5,0.5
Aphelios/Leona/Nasus/Nunu/Rell/Senna,5,5,0.71
Aphelios/Leona/Nasus/Nunu/Rell/Zeri,5,5,0.71
Aphelios/Leona/Nasus/Nunu/Rengar/Sejuani,5,5,0.62
Aphelios/Leona/Nasus/Nunu/Sejuani/Senna,5,5,0.62
Aphelios/Leona/Nasus/Nunu/Sejuani/Zeri,5,5,0.62
Aphelios/Leona/Nasus/Rell/Sejuani/Senna,5,5,0.62
Aphelios/Leona/Nasus/Rell/Sejuani/Yone,5,5,0.62
Aphelios/Leona/Nasus/Rell/Sejuani/Zeri,5,5,0.62
Aphelios/Leona/Nunu/Qiyana/Rengar/Sejuani,5,5,0.62
Aphelios/Leona/Nunu/Rakan/Rell/Senna,6,6,0.86
Aphelios/Leona/Nunu/Rakan/Rell/Zeri,5,5,0.62
Aphelios/Leona/Nunu/Rakan/Rengar/Sejuani,5,5,0.56
Aphelios/Leona/Nunu/Rakan/Rengar/Senna,5,5,0.62
Aphelios/Leona/Nunu/Rakan/Sejuani/Senna,6,6,0.75
Aphelios/Leona/Nunu/Rakan/Sejuani/Zeri,5,5,0.56
Aphelios/Leona/Nunu/Rakan/Senna/Seraphine,5,5,0.56
Aphelios/Leona/Nunu/Rakan/Senna/Twitch,5,5,0.56
Aphelios/Leona/Nunu/Rell/Sejuani/Senna,5,6,0.71
Aphelios/Leona/Nunu/Rell/Sejuani/Zeri,5,6,0.71
Aphelios/Leona/Nunu/Rell/Senna/Sett,5,5,0.71
Aphelios/Leona/Nunu/Rell/Senna/Twitch,5,5,0.62
Aphelios/Leona/Nunu/Rell/Senna/Zac,5,5,0.71
Aphelios/Leona/Nunu/Rell/Twitch/Varus,5,5,0.62
Aphelios/Leona/Nunu/Rell/Twitch/Zeri,5,5,0.62
Aphelios/Leona/Nunu/Rell/Zac/Zeri,5,5,0.83
Aphelios/Leona/Nunu/Rengar/Sejuani/Senna,5,5,0.62
Aphelios/Leona/Nunu/Rengar/Sejuani/Zac,5,5,0.62
Aphelios/Leona/Nunu/Rengar/Sejuani/Zeri,5,5,0.62
Aphelios/Leona/Nunu/Sejuani/Senna/Sett,5,5,0.62
Aphelios/Leona/Nunu/Sejuani/Senna/Zac,5,5,0.62
Aphelios/Leona/Nunu/Sejuani/Zac/Zeri,5,5,0.71
Aphelios/Leona/Olaf/Rakan/Senna/Yone,5,5,0.56
Aphelios/Leona/Olaf/Rell/Sejuani/Yone,5,5,0.56
Aphelios/Leona/Qiyana/Rakan/Rengar/Senna,5,5,0.62
Aphelios/Leona/Rakan/Rell/Sejuani/Senna,6,6,0.75
Aphelios/Leona/Rakan/Rell/Sejuani/Yone,5,5,0.56
Aphelios/Leona/Rakan/Rell/Sejuani/Zeri,5,5,0.56
Aphelios/Leona/Rakan/Rell/Senna/Seraphine,5,5,0.56
Aphelios/Leona/Rakan/Rell/Senna/Twitch,5,5,0.56
Aphelios/Leona/Rakan/Rell/Senna/Yone,5,5,0.62
Aphelios/Leona/Rakan/Rengar/Sejuani/Senna,5,5,0.56
Aphelios/Leona/Rakan/Rengar/Senna/Seraphine,5,5,0.56
Aphelios/Leona/Rakan/Rengar/Senna/Twitch,5,5,0.56
Aphelios/Leona/Rakan/Rengar/Senna/Yone,5,5,0.62
Aphelios/Leona/Rakan/Sejuani/Senna/Seraphine,5,5,0.5
Aphelios/Leona/Rakan/Sejuani/Senna/Yone,5,5,0.56
Aphelios/Leona/Rakan/Senna/Seraphine/Twitch,5,5,0.5
Aphelios/Leona/Rakan/Senna/Seraphine/Yone,5,5,0.56
Aphelios/Leona/Rakan/Senna/Seraphine/Zyra,5,5,0.56
Aphelios/Leona/Rakan/Senna/Twitch/Varus,5,5,0.56
Aphelios/Leona/Rakan/Senna/Twitch/Yone,5,5,0.56
